source,target,similarity_ranking
210356,839311,22
210356,546644,21
210356,933855,21
210356,605781,20
210356,952959,20
210356,379565,19
210356,707234,18
210356,131618,18
210356,869295,18
210356,811322,17
210356,339715,16
210356,386592,16
210356,363950,16
210356,338183,16
210356,698672,16
210356,287210,16
210356,168603,15
210356,232434,15
210356,111635,14
566905,168298,15
566905,736652,14
566905,131618,13
566905,582014,11
566905,239986,11
566905,294618,10
566905,665092,9
566905,547933,9
566905,637414,9
566905,232215,9
566905,151223,8
566905,557648,8
566905,843626,8
566905,379565,8
566905,361031,8
566905,902153,8
566905,801150,7
566905,205466,7
566905,507385,7
566905,363301,7
566905,404983,7
566905,843412,6
566905,287210,6
566905,588717,6
566905,29656,6
566905,352702,6
566905,754832,6
566905,111337,6
566905,339741,6
566905,229150,6
446990,406400,27
446990,350356,26
446990,994664,26
446990,384002,26
446990,100913,25
446990,505694,25
446990,404983,22
446990,776758,22
446990,861764,22
446990,26254,21
446990,911419,20
446990,605224,20
446990,138637,19
446990,20031,19
446990,68677,19
446990,690883,18
446990,302776,18
446990,33471,18
446990,736652,17
446990,109782,17
446990,909273,17
446990,333208,17
446990,606164,16
446990,483022,16
446990,547933,16
446990,963787,16
446990,997377,16
446990,961772,16
446990,683261,16
446990,581790,16
674127,680986,22
674127,952442,21
674127,897957,19
674127,535357,19
674127,231864,19
674127,994664,19
674127,766748,18
674127,918922,18
674127,26500,18
674127,202776,17
674127,33471,17
674127,776758,17
674127,775840,17
674127,85310,17
674127,798084,16
674127,681076,16
674127,505694,16
674127,406400,16
674127,194344,15
674127,557679,15
674127,153722,15
674127,483705,15
674127,457522,15
674127,537040,15
674127,406999,15
674127,387004,14
674127,605917,14
674127,269177,13
674127,909182,13
674127,296490,13
285244,363822,10
285244,683050,10
285244,655448,9
285244,350356,9
285244,911419,9
285244,361031,8
285244,776758,8
285244,813416,8
285244,961772,8
285244,333742,8
285244,555997,8
285244,258717,8
285244,607351,8
285244,665092,8
285244,994664,8
285244,33471,8
285244,259320,7
285244,319670,7
285244,162764,7
285244,149930,7
285244,194344,7
285244,20031,7
285244,151203,7
285244,644654,7
285244,860721,7
285244,358288,7
285244,605917,7
285244,138605,7
285244,637293,6
285244,12182,6
406110,102792,28
406110,895851,28
406110,994664,21
406110,284548,19
406110,567380,19
406110,985506,19
406110,202776,19
406110,860982,18
406110,952442,18
406110,665092,16
406110,680986,15
406110,634190,14
406110,201274,14
406110,851293,13
406110,151223,12
406110,33471,11
406110,330162,10
406110,506652,10
406110,387268,10
406110,953985,10
406110,86759,9
406110,908476,9
406110,233186,9
406110,911419,9
406110,951947,9
406110,138605,9
406110,435043,9
406110,202017,8
406110,258919,8
406110,838126,8
221062,230772,46
221062,634540,43
221062,536849,40
221062,861515,40
221062,201356,37
221062,158574,37
221062,735869,36
221062,168087,34
221062,465327,34
221062,111635,32
221062,737508,29
221062,681371,29
221062,284189,27
221062,984363,27
221062,950003,24
221062,268275,24
221062,339474,24
221062,949342,21
221062,852650,21
221062,860675,21
221062,359918,20
221062,318640,20
221062,683067,20
221062,783880,20
221062,923817,20
221062,108514,19
221062,228540,19
221062,454177,19
221062,789237,18
221062,385908,17
923487,735815,20
923487,706776,16
923487,994664,14
923487,331801,14
923487,232400,13
923487,232215,12
923487,607351,11
923487,574084,11
923487,666220,11
923487,333519,11
923487,342967,11
923487,363301,11
923487,85254,11
923487,149930,10
923487,101393,10
923487,456039,10
923487,482695,10
923487,153165,10
923487,20031,10
923487,187759,9
923487,243399,9
923487,682104,9
923487,809608,9
923487,232313,9
923487,832998,8
923487,50997,8
923487,507267,8
923487,534037,8
923487,800948,8
923487,607940,8
698672,168298,50
698672,952959,40
698672,582014,38
698672,736652,34
698672,404983,32
698672,803982,32
698672,379565,29
698672,843626,28
698672,537134,28
698672,605781,25
698672,287210,24
698672,111337,23
698672,869295,23
698672,363950,22
698672,163448,22
698672,580947,22
698672,781037,22
698672,637414,22
698672,350486,20
698672,933855,20
698672,707234,19
698672,754420,18
698672,90187,18
698672,839311,17
698672,811322,17
698672,100192,17
698672,210356,16
698672,339715,15
698672,232434,15
698672,681522,13
168308,682021,13
168308,505785,13
168308,950962,10
168308,767782,10
168308,995213,9
168308,897957,9
168308,655448,7
168308,853702,7
168308,387872,7
168308,939877,7
168308,581041,6
168308,269563,6
168308,681522,6
168308,285211,6
168308,406400,6
168308,118908,5
168308,435043,5
168308,791422,5
168308,682149,5
168308,930431,5
168308,656573,5
168308,379565,5
168308,201274,5
168308,387746,5
168308,296490,4
168308,644851,4
168308,285565,4
168308,465698,4
168308,169228,4
168308,683050,4
395611,800948,43
395611,149930,34
395611,607351,33
395611,758884,31
395611,902793,31
395611,232215,30
395611,20031,29
395611,547933,29
395611,735815,29
395611,405952,28
395611,286704,28
395611,606164,26
395611,284112,26
395611,71271,26
395611,939415,25
395611,363301,24
395611,534037,24
395611,574084,23
395611,131618,23
395611,706776,23
395611,319226,23
395611,53983,22
395611,920717,22
395611,860820,21
395611,736652,21
395611,350356,20
